idpessoa,cidade,uf,risk_score,confidence,abc,recommended_product,pitch
0100DL2MDS,"Votorantim",SP,30.49,68.00,A,01000KRYJG,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FIPA22,"Votorantim",SP,30.26,66.50,B,01005UNO9P,"Produto já comprado por você anteriormente."
010007XZ1D,"Votorantim",SP,28.73,71.00,B,01000DGVFZ,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FI2IAP,"Votorantim",SP,28.69,66.50,B,01000AYCA1,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FG6TEI,"Votorantim",SP,28.60,66.50,A,01000N2O0Y,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FNBLC7,"Votorantim",SP,27.87,90.00,C,01000KZTDQ,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FKDKGN,"Votorantim",SP,27.45,66.50,C,01000N2W4T,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FNP7A9,"Votorantim",SP,27.05,90.00,C,01000IWYO4,"Produto já comprado por você anteriormente."
0100FNXME5,"Votorantim",SP,25.44,90.00,C,01000N2W4T,"Comprado frequentemente por clientes com perfil similar ao seu."
0100B5UZK4,"Votorantim",SP,25.40,69.50,A,01000EPOAI,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FPQQCZ,"Votorantim",SP,25.24,90.00,C,01000N2O0Y,"Comprado frequentemente por clientes com perfil similar ao seu."
010001I51W,"Votorantim",SP,25.10,66.50,C,01000O2I1H,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FNH40W,"Votorantim",SP,24.77,90.00,C,01000NOX3W,"Comprado frequentemente por clientes com perfil similar ao seu."
0100CVYU4X,"Votorantim",SP,22.82,69.50,B,0100BVGBFW,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FQXDUT,"Votorantim",SP,22.50,90.00,B,01000O2I1H,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FKSQG4,"Votorantim",SP,22.27,68.00,A,01000LD568,"Comprado frequentemente por clientes com perfil similar ao seu."
0100FQBC5K,"Votorantim",SP,21.92,90.00,B,01000N2O0Y,"Comprado frequentemente por clientes com perfil similar ao seu."
0100CE9X95,"Votorantim",SP,21.83,90.00,C,01005NG93A,"Comprado frequentemente por clientes com perfil similar ao seu."
0100CJ7F04,"Votorantim",SP,21.45,90.00,C,01000NP78Q,"Comprado frequentemente por clientes com perfil similar ao seu."
